team,number,class,1,2,3,4,5,6,7,8,9
Kentucky,3,SOV,G,G,G,G,R,,,,
MIT,4,SOV,G,R,G,G,G,,,,
Minnesota,35,MOV,G,Y,G*,G,G,,,,
Illinois,22,SOV,G,R,R,Y,G,,,,
modified,28 Jan 2022 - 10pm US Central,,,,,,,,,,
